number,incident_state,active,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,opened_at,sys_created_by,sys_created_at,sys_updated_by,sys_updated_at,contact_type,location,category,subcategory,u_symptom,cmdb_ci,impact,urgency,priority,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,vendor,caused_by,closed_code,resolved_by,resolved_at,closed_at
INC0000057,New,TRUE,0,0,1,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,29/2/2016 06:38,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000057,New,TRUE,0,0,2,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 451,29/2/2016 10:06,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000057,New,TRUE,0,0,3,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/16 2:53,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000057,New,TRUE,0,0,4,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/16 2:54,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000057,Resolved,TRUE,0,0,5,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 21,1/3/16 2:55,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000057,Closed,FALSE,0,0,6,TRUE,Caller 4416,Opened by  8,29/2/2016 06:10,?,?,Updated by 908,6/3/16 3:00,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 6,TRUE,FALSE,Do Not Notify,Problem ID  2,?,?,?,code 10,Resolved by 5,1/3/16 2:55,6/3/16 3:00
INC0000060,New,TRUE,0,0,0,TRUE,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 340,29/2/2016 06:42,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/16 12:06,7/3/16 13:00
INC0000060,Active,TRUE,0,0,1,TRUE,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 465,2/3/16 8:52,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/16 12:06,7/3/16 13:00
INC0000060,Resolved,TRUE,0,0,2,TRUE,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 465,2/3/16 12:06,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/16 12:06,7/3/16 13:00
INC0000060,Closed,FALSE,0,0,3,TRUE,Caller 4491,Opened by  180,29/2/2016 06:38,Created by 81,29/2/2016 06:42,Updated by 908,7/3/16 13:00,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,?,2 - Medium,2 - Medium,3 - Moderate,Group 25,Resolver 125,TRUE,FALSE,Do Not Notify,?,?,?,?,code 3,Resolved by 113,2/3/16 12:06,7/3/16 13:00
INC0000062,New,TRUE,0,0,0,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:26,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,New,TRUE,0,0,1,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:29,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,New,TRUE,1,0,2,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 340,29/2/2016 07:34,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,New,TRUE,1,0,3,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 804,29/2/2016 11:23,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,New,TRUE,1,0,4,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 804,29/2/2016 11:28,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,New,TRUE,1,0,5,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 241,29/2/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,Resolved,TRUE,1,0,6,TRUE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 241,29/2/2016 15:51,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000062,Closed,FALSE,1,0,7,FALSE,Caller 3765,Opened by  180,29/2/2016 06:58,Created by 81,29/2/2016 07:26,Updated by 908,5/3/16 16:00,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,?,1 - High,2 - Medium,2 - High,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 15:51,5/3/16 16:00
INC0000063,New,TRUE,0,0,0,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:17,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,New,TRUE,0,0,1,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:23,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,New,TRUE,0,0,2,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 340,29/2/2016 07:27,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,New,TRUE,0,0,3,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 60,29/2/2016 07:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,New,TRUE,1,0,4,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 60,29/2/2016 07:46,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,New,TRUE,1,0,5,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 241,29/2/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,Resolved,TRUE,1,0,6,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 241,29/2/2016 16:01,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000063,Closed,FALSE,1,0,7,TRUE,Caller 2146,Opened by  180,29/2/2016 07:08,Created by 81,29/2/2016 07:17,Updated by 908,5/3/16 17:00,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,?,2 - Medium,2 - Medium,3 - Moderate,Group 23,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 7,Resolved by 62,29/2/2016 16:01,5/3/16 17:00
INC0000064,New,TRUE,0,0,0,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 265,29/2/2016 07:14,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,New,TRUE,0,0,1,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 265,29/2/2016 07:16,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Active,TRUE,0,0,2,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 723,29/2/2016 13:12,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 186,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Active,TRUE,1,0,3,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 723,29/2/2016 13:13,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Active,TRUE,1,0,4,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,2/3/16 9:17,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Active,TRUE,1,0,5,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,2/3/16 12:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Active,TRUE,1,0,6,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,3/3/16 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Resolved,TRUE,1,0,7,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 307,3/3/16 16:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000064,Closed,FALSE,1,0,8,TRUE,Caller 2838,Opened by  131,29/2/2016 07:10,Created by 62,29/2/2016 07:14,Updated by 908,8/3/16 17:00,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 28,Resolver 78,TRUE,FALSE,Do Not Notify,?,?,?,?,code 6,Resolved by 71,3/3/16 16:00,8/3/16 17:00
INC0000065,New,TRUE,0,0,0,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 265,29/2/2016 07:46,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,0,0,2,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 265,29/2/2016 07:55,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,0,0,3,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 967,29/2/2016 08:26,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 5,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,1,0,4,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 967,29/2/2016 08:26,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,2,0,5,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 798,29/2/2016 09:19,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,2,0,6,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 653,29/2/2016 09:26,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,3,0,7,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 653,29/2/2016 09:27,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,4,0,8,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 750,29/2/2016 11:17,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 12,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,5,0,9,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 798,29/2/2016 14:51,Phone,Location 108,Category 45,Subcategory 229,Symptom 580,?,2 - Medium,2 - Medium,3 - Moderate,Group 15,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,New,TRUE,6,0,10,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 164,1/3/16 16:52,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,Awaiting User Info,TRUE,6,0,11,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 862,2/3/16 15:17,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,Resolved,TRUE,6,0,12,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 862,2/3/16 15:21,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000065,Closed,FALSE,6,0,13,TRUE,Caller 5323,Opened by  131,29/2/2016 07:38,Created by 62,29/2/2016 07:46,Updated by 908,7/3/16 16:00,Phone,Location 108,Category 45,Subcategory 94,Symptom 311,?,2 - Medium,2 - Medium,3 - Moderate,Group 33,Resolver 216,TRUE,FALSE,Do Not Notify,?,?,?,?,code 1,Resolved by 197,2/3/16 15:21,7/3/16 16:00
INC0000066,New,TRUE,0,0,0,TRUE,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 60,29/2/2016 08:18,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 70,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/16 14:37,7/3/16 15:00
INC0000066,New,TRUE,1,0,1,TRUE,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 750,29/2/2016 11:10,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/16 14:37,7/3/16 15:00
INC0000066,Resolved,TRUE,1,0,2,TRUE,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 874,2/3/16 14:37,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/16 14:37,7/3/16 15:00
INC0000066,Closed,FALSE,1,0,3,TRUE,Caller 3796,Opened by  24,29/2/2016 08:03,Created by 13,29/2/2016 08:18,Updated by 908,7/3/16 15:00,Phone,Location 161,Category 55,Subcategory 185,?,?,2 - Medium,2 - Medium,3 - Moderate,Group 54,?,TRUE,FALSE,Do Not Notify,?,?,?,?,code 5,Resolved by 208,2/3/16 14:37,7/3/16 15:00
